1.398230144675745912e+00,1.039022912434336661e+02
1.305867879030318646e+00,1.037937937334375107e+02
1.325207127828298637e+00,1.038812686659487383e+02
1.383789088048217097e+00,1.037560773967827288e+02
1.335599973160151555e+00,1.039556146033849728e+02
1.364321948537078999e+00,1.038441709014613394e+02
1.300905298578897362e+00,1.038338399856892096e+02
1.437666716670876532e+00,1.037868449634049881e+02
1.338190670957209338e+00,1.037026681027751778e+02
1.427168931095609716e+00,1.038371914623723598e+02
1.328206582811090053e+00,1.038484547680978380e+02
1.381130742370120457e+00,1.038827958760189034e+02
1.341602171216840445e+00,1.037440456031877574e+02
1.353712253978176516e+00,1.039419991120745550e+02
1.282433422978896287e+00,1.038452202737678789e+02
1.356047800688570337e+00,1.038773715662504742e+02
1.314395760275613778e+00,1.038991139933172576e+02
1.302953915249954298e+00,1.038574580376398444e+02
1.283469857393315428e+00,1.038078628380626469e+02
1.448666345594310290e+00,1.038176290974946596e+02
1.366752127288380914e+00,1.039880444736511009e+02
1.342167587556793329e+00,1.037786120949257196e+02
1.311466586655190003e+00,1.037642702488627862e+02
1.267716940863226727e+00,1.038223000840304167e+02
1.325407559729097295e+00,1.039286007390497986e+02
1.371899326474827596e+00,1.039511650762561175e+02
